	Gene
ABC_tran_CTD,Cu_amine_oxidN1	1
YabR	1
DivIC	1
Spore_YabQ	1
CBS_pair_inorgPPase,DRTGG,CBS_archAMPK_gamma-repeat2,PPX1	1
YabP	1
SpoIID	1
HslR	1
YabN	1
SIMIBI	1
COG5493	1
M56_like	1
BLOC1_2	1
COG4934	1
GT4_WbaZ-like	1
GT4_WbuB-like	1
YfhO	1
GalU	1
UGD_SDR_e	1
Cytochrom_C	1
Sco1	1
SCO	1
AAA_27,DUF4686,YhaN	1
csm4gr5,Trypan_PARP	1
FoP_duplication,csm2gr11	1
PDDEXK_3	1
Rotamase_3	1
